Date,Dividends
2010-09-24,0.558
2015-03-23,0.984
2017-03-22,0.998
2016-09-13,0.883
2013-06-24,0.738
2015-06-22,0.902
2015-12-21,1.092
2013-12-24,0.914
2011-03-25,0.536
2013-03-22,0.67
2017-06-23,1.01
2013-09-23,0.786
2015-09-21,0.953
2017-09-20,1.176
2011-06-24,0.57
2011-12-23,0.686
2018-03-26,1.084
2011-09-23,0.58
2012-03-26,0.57
2014-03-24,0.779
2017-12-26,1.184
2018-06-28,1.157
2010-12-27,0.526
2012-06-25,0.64
2012-12-24,0.94
2014-06-23,0.809
2016-06-21,0.953
2016-12-22,1.296
2018-09-26,1.207
2016-03-21,1.006
2012-09-24,0.686
2014-09-22,0.876
2014-12-18,1.026
2018-12-17,1.289
